word,emotion,polarity,social,moral,motion_self,thought,color,taste_smell,tactile,visual_form,auditory,space,quantity,time
nerve,4.09,3.8,2.62,3.23,3.3,4.14,2.2,1.64,3.2,2.6,1.8,4.07,2.7,2.8
newspaper,2.45,3.12,3.39,1.68,1.8,2.69,3.1,3.27,3.6,6.3,3.3,2.75,2.94,3.68
nose,1.54,3.0,2.54,2.61,2.1,2.22,1.8,4.09,4.8,6.3,4.0,3.72,2.9,1.8
number,1.82,2.9,2.08,2.23,1.5,3.0,1.6,1.64,1.5,3.1,1.4,4.36,5.2,5.0
nurse,2.73,4.2,3.92,2.23,1.6,3.07,2.8,3.64,2.2,5.2,4.3,3.93,2.2,2.9
object,1.73,3.3,2.0,2.62,1.5,2.72,2.4,3.09,2.8,5.7,2.8,4.15,3.8,2.2
obstruction,2.27,2.4,2.08,3.0,1.5,3.07,1.8,2.0,2.4,3.7,2.2,3.43,3.6,3.4
occasion,3.14,3.03,3.52,3.29,2.7,3.16,2.1,2.09,1.8,1.7,2.5,3.06,3.79,5.08
occupation,3.14,4.15,4.24,3.87,3.2,3.84,1.8,1.73,1.9,1.6,2.0,3.25,3.21,3.44
ocean,2.76,4.15,2.15,1.84,2.7,2.66,5.2,5.0,4.7,5.5,6.4,5.44,4.94,2.36
odor,2.64,3.4,2.08,2.31,1.7,3.43,2.3,6.09,2.7,1.7,1.8,2.58,2.8,2.9
onion,1.86,3.06,1.67,1.52,2.0,1.47,4.4,5.73,4.9,6.6,2.4,2.69,2.85,1.84
opera,3.24,3.12,2.55,1.74,1.9,1.81,2.6,2.73,2.3,3.7,6.9,3.53,2.15,3.28
opinion,4.79,4.42,4.61,4.61,4.9,5.72,2.1,1.64,1.5,1.7,3.6,3.13,3.67,2.72
opponent,3.09,3.0,4.77,3.85,1.8,2.93,1.9,2.36,2.0,4.4,3.3,3.29,2.0,2.3
opportunity,3.83,4.76,4.3,4.0,3.1,4.91,2.8,1.91,1.6,1.7,2.2,3.78,4.64,3.64
opposition,4.07,3.67,3.67,3.32,2.6,5.34,2.3,1.64,2.0,1.7,2.5,2.66,3.45,2.92
orchestra,2.66,3.7,3.27,1.61,3.5,3.0,2.9,2.0,2.7,4.8,6.3,2.88,4.06,2.6
orchid,2.86,3.18,1.79,1.52,2.0,1.84,4.7,5.91,3.9,5.9,1.8,3.0,2.36,2.24
origin,2.86,3.3,2.61,2.65,1.9,4.0,1.6,1.73,1.6,1.6,1.4,4.03,2.82,4.56
originality,4.69,4.52,3.76,3.94,4.6,5.38,1.9,1.64,1.4,2.1,1.7,3.13,3.67,3.56
outcome,3.59,3.79,3.24,4.19,3.5,4.38,1.6,1.64,1.5,1.8,1.9,3.53,3.97,4.0
outfit,2.0,3.0,2.54,2.69,1.9,2.93,3.8,3.18,3.6,4.8,2.1,4.5,2.3,2.4
oven,2.24,3.21,1.97,1.55,1.6,1.56,1.9,4.73,3.9,6.1,4.1,3.5,2.7,2.4
owner,2.0,3.8,4.0,2.85,1.7,3.36,1.9,2.0,2.0,3.7,2.4,3.93,2.2,3.1
ownership,3.62,4.09,4.06,3.77,2.0,3.47,1.7,1.64,1.7,1.6,1.7,3.5,3.82,3.56
palace,2.62,3.15,2.18,1.68,1.5,1.53,3.0,3.36,3.1,5.5,1.5,4.63,4.64,2.04
paradigm,3.0,3.55,2.64,3.16,2.1,4.91,2.0,1.64,1.6,2.2,1.4,2.63,3.61,4.12
paragraph,1.84,2.65,1.6,2.25,1.7,3.63,2.3,1.64,1.6,3.4,2.1,3.99,3.87,3.93
parish,1.55,3.0,2.46,2.53,1.2,2.14,1.6,2.0,2.7,4.0,2.5,3.36,3.2,2.5
park,2.18,4.1,2.15,2.46,2.8,2.78,3.8,4.36,3.1,5.1,3.4,4.79,4.9,3.1
past,3.67,4.59,4.25,3.8,3.4,4.58,2.3,1.73,2.5,2.0,3.0,5.15,4.0,5.3
pawn,2.55,3.0,3.15,2.77,1.6,2.43,2.6,1.18,3.1,4.4,1.5,2.5,2.6,2.9
payment,2.18,4.7,2.69,3.62,2.8,2.57,1.5,2.0,2.2,2.8,2.3,4.5,5.0,4.1
peace,4.73,4.9,3.62,4.77,3.6,5.29,2.8,2.09,2.2,2.2,2.6,4.43,3.2,4.2
peacemaker,4.38,4.92,3.95,4.88,3.1,4.63,2.7,1.64,1.9,2.8,3.1,4.5,4.3,3.95
peach,2.45,3.3,1.55,1.65,2.5,1.59,5.9,6.36,5.0,6.5,1.8,2.72,2.79,1.56
perception,4.59,4.3,4.67,5.13,3.7,5.5,2.0,1.64,2.1,1.8,2.0,3.16,4.39,4.56
performance,3.0,5.0,3.47,3.85,4.5,4.75,2.2,1.64,1.7,2.9,4.7,4.76,3.2,4.47
permission,3.0,3.64,4.03,4.81,2.5,4.09,1.7,1.64,1.4,1.4,2.1,2.53,2.94,2.88
personality,5.44,5.25,5.31,5.3,5.3,5.92,2.7,1.64,2.3,2.4,3.42,3.23,4.8,3.9
pest,2.59,3.09,2.73,2.25,1.1,3.32,2.4,3.36,4.0,4.0,3.1,3.39,2.94,2.9
phenomenon,3.03,4.18,3.18,2.58,2.6,4.31,1.7,1.64,2.3,2.9,2.0,2.72,4.0,3.24
philosophy,3.79,4.03,4.27,4.61,3.2,5.84,1.7,1.64,1.5,1.5,2.3,3.13,3.3,3.64
photo,3.72,4.06,3.64,1.94,2.3,3.38,3.6,2.0,4.2,6.2,2.4,3.34,3.27,2.72
photograph,2.73,3.9,3.54,2.69,2.9,3.93,3.4,2.64,4.8,6.2,2.5,4.64,3.5,4.5
physics,1.73,2.7,1.77,3.85,2.8,3.93,1.8,1.64,2.2,2.1,2.1,4.5,3.4,5.8
pie,2.59,4.12,1.76,1.77,2.1,1.5,3.9,6.55,4.9,5.6,2.3,3.25,3.97,1.64
pig,2.28,2.91,1.64,1.58,1.1,1.78,4.6,5.64,4.3,6.0,5.7,2.53,2.82,1.52
pigeon,1.97,2.67,1.48,1.58,1.3,1.5,3.5,3.73,4.2,6.1,5.6,2.44,1.94,1.72
pile,2.09,2.7,1.62,1.62,1.4,2.64,2.4,2.0,2.6,4.6,1.9,3.29,4.6,3.2
pill,2.56,2.83,1.75,1.6,1.4,2.67,4.0,2.73,5.6,5.9,2.33,2.38,4.3,4.1
pillow,2.31,4.21,2.03,1.84,1.9,1.41,3.4,3.91,4.3,6.4,2.7,3.09,2.42,1.84
pimple,2.34,3.45,2.09,1.71,1.7,1.59,4.2,2.27,5.0,6.3,1.4,2.41,3.24,1.92
play,3.48,4.72,3.76,2.85,4.3,3.08,2.8,1.64,1.7,2.6,4.3,4.39,2.85,5.0
poetry,2.94,4.07,2.74,2.25,2.3,4.55,3.0,1.64,2.2,2.3,5.2,3.86,2.6,3.8
policeman,3.28,3.7,4.15,3.61,1.5,2.47,3.2,2.45,2.6,5.1,4.9,3.16,2.88,2.52
poll,3.34,2.8,2.73,2.5,1.5,3.82,1.6,1.64,1.8,3.6,1.4,4.26,3.54,3.13
pond,2.28,3.39,1.85,1.52,2.1,1.84,4.0,3.73,4.9,5.9,3.6,4.84,4.03,1.64
pool,2.27,4.1,2.08,2.38,3.0,2.14,4.4,4.55,5.7,5.8,4.7,4.22,4.3,2.5
possibility,3.69,4.33,3.42,3.94,2.8,5.06,2.2,1.64,1.8,1.6,1.9,3.25,4.64,4.04
potato,2.31,3.3,1.48,1.58,1.9,1.53,4.9,6.09,5.4,6.5,2.1,2.81,2.52,1.6
prediction,3.41,3.52,3.24,3.65,4.7,4.94,1.7,1.73,1.6,1.6,1.9,3.28,3.88,3.96
preference,4.38,4.0,3.39,4.19,4.0,5.0,2.1,1.73,1.9,1.7,2.1,3.09,3.79,3.52
preparation,3.03,4.06,2.94,3.84,4.8,4.56,2.1,1.64,1.7,1.9,2.7,3.09,3.52,4.92
presence,3.69,3.36,4.21,3.16,3.4,3.84,2.0,1.64,1.6,1.8,2.0,3.75,3.24,3.52
pretense,3.79,3.45,3.55,3.58,2.0,4.53,1.9,1.64,1.8,1.5,1.6,2.44,2.88,2.96
principle,3.67,4.66,3.5,6.4,4.5,5.59,2.2,1.82,2.2,1.8,2.58,4.15,3.8,3.8
produce,2.36,3.6,2.08,2.77,3.5,4.07,2.1,3.27,2.7,4.2,2.2,4.15,3.2,3.8
production,2.93,3.64,3.67,2.23,5.7,4.41,1.6,1.91,1.7,1.8,2.7,2.91,4.24,4.16
professor,2.46,4.5,3.84,3.85,2.7,4.21,1.6,2.91,2.7,4.9,5.5,4.15,2.1,2.9
promotion,3.79,4.55,3.79,3.13,2.2,4.06,2.0,1.64,1.7,1.6,1.8,4.28,4.3,3.52
proof,3.07,4.58,3.18,4.26,2.2,5.03,1.7,1.64,1.8,2.4,1.8,2.94,3.7,3.36
prop,2.0,2.8,1.69,2.31,1.5,2.86,2.2,2.09,3.3,4.3,2.2,4.29,2.3,2.3
propeller,1.59,2.48,1.91,1.48,2.1,1.81,2.2,2.09,3.3,5.7,5.6,2.75,2.94,2.0
property,2.0,3.9,2.85,2.92,1.4,2.28,1.8,3.36,2.2,3.7,1.8,4.65,4.7,2.9
proportion,2.31,3.7,2.45,2.52,2.5,4.03,1.8,1.64,1.8,2.3,1.4,2.75,5.79,3.84
protection,4.09,5.0,2.85,4.46,4.7,4.5,1.6,1.64,1.6,1.7,2.0,4.36,2.8,3.4
psalm,3.0,2.87,2.37,2.38,1.7,3.69,2.0,1.64,1.7,2.5,3.0,3.92,2.14,3.58
puddle,1.64,2.9,1.77,2.16,1.8,2.5,3.4,3.36,4.5,5.7,4.8,2.72,3.4,2.9
punishment,4.09,3.7,3.69,4.23,3.3,3.79,1.9,1.09,1.9,1.8,2.7,2.64,3.1,3.2
puppy,3.76,4.64,2.55,1.94,2.0,2.03,3.6,5.0,5.1,6.1,5.9,3.19,3.42,1.72
purpose,4.45,4.58,4.3,4.87,4.3,5.09,2.3,1.64,1.4,1.6,1.2,3.25,3.94,3.32
pyramid,2.1,3.06,2.55,1.61,2.0,3.06,3.4,1.73,3.7,6.1,1.9,4.44,4.67,2.6
quality,3.41,4.76,3.33,4.03,3.3,4.69,2.1,2.09,1.9,1.5,2.0,3.22,4.45,3.64
queen,2.31,3.12,3.97,2.03,1.6,2.09,3.0,2.36,3.0,5.0,4.5,3.03,3.0,2.76
rabbit,2.62,3.12,1.45,1.68,1.5,1.69,4.3,4.91,4.0,6.2,3.8,2.88,2.36,1.64
radio,2.56,3.42,2.06,2.1,1.5,3.17,3.3,1.73,5.7,5.7,6.0,2.62,3.1,3.6
rainbow,3.69,4.12,2.03,1.94,2.3,1.75,6.5,2.09,1.9,5.1,1.7,3.75,3.39,2.64
raspberry,2.03,3.33,1.61,1.55,2.5,1.53,5.3,5.55,5.2,6.3,2.3,2.66,2.58,1.64
real,2.45,4.8,2.69,3.54,4.3,5.07,2.3,1.64,1.6,3.1,1.7,5.14,2.2,3.2
reality,4.55,4.39,3.97,4.48,4.2,5.31,2.1,1.64,1.9,3.4,1.8,3.5,3.94,3.72
reason,3.0,4.4,2.69,4.77,4.2,5.36,1.8,1.64,1.6,1.6,2.3,4.79,2.4,3.0
rebel,3.55,4.1,3.39,3.85,3.8,3.86,2.1,2.09,2.2,3.1,3.6,2.72,2.8,2.1
recital,2.27,2.4,2.39,2.15,3.0,4.07,1.9,1.64,2.0,2.6,5.9,3.15,2.4,3.7
recognition,4.1,4.24,4.67,4.26,3.9,5.19,1.9,1.64,1.9,2.0,2.9,3.09,4.03,3.16
record,1.89,2.83,2.06,2.9,1.7,3.17,2.5,1.82,4.6,4.9,4.5,3.38,3.5,4.6
reduction,2.21,2.91,2.18,2.26,2.2,3.81,1.6,1.64,1.8,2.0,1.4,2.34,4.7,3.52
reflex,2.18,3.6,2.0,3.61,5.3,3.21,1.8,1.64,1.8,1.9,1.6,3.93,2.0,4.3
refrigerator,2.28,3.42,2.12,1.68,1.8,1.59,2.6,4.09,4.4,6.2,4.5,3.59,3.27,1.88
regret,5.27,4.4,4.23,3.62,3.6,5.5,1.8,1.64,1.4,2.1,1.7,2.79,2.0,4.1
regulation,2.66,3.45,2.94,4.9,2.3,4.25,2.2,1.64,1.5,1.8,1.8,2.5,3.82,4.08
reinforcement,3.17,3.76,3.76,4.45,2.2,3.84,1.7,1.18,1.4,2.0,1.7,2.44,3.85,3.16
relief,5.0,5.42,2.56,3.3,3.5,5.33,2.9,2.09,2.7,2.2,2.25,3.31,4.2,3.3
rent,1.64,3.7,2.84,3.23,2.4,2.14,1.6,1.64,1.7,1.6,1.6,4.43,4.2,3.9
replacement,3.0,3.36,2.76,2.42,2.6,3.25,1.9,1.64,1.6,3.0,1.8,2.5,2.7,3.52
republic,1.91,2.5,3.23,3.38,1.2,2.71,1.6,1.64,1.8,2.3,1.8,3.36,3.6,2.9
reputation,4.17,4.91,4.76,4.32,3.4,4.53,1.5,1.64,2.2,1.9,1.5,3.25,4.42,3.72
requirement,2.93,3.61,2.97,3.97,2.2,3.69,1.7,1.64,1.8,1.6,1.7,2.56,4.27,3.6
resort,2.0,3.7,2.38,2.7,1.6,3.14,2.7,2.73,2.3,3.2,2.7,4.15,3.3,2.1
response,4.1,3.45,3.85,4.26,4.3,4.75,1.9,1.91,1.7,1.4,4.0,2.88,3.18,4.24
responsibility,4.66,5.3,5.03,5.87,3.8,5.44,2.0,1.64,1.5,1.6,1.8,3.81,4.73,3.6
result,2.64,4.1,2.38,3.46,4.6,4.43,2.1,1.55,1.9,2.4,2.2,4.36,3.3,5.1
retention,2.59,3.64,3.15,3.1,2.3,4.06,2.2,1.64,1.7,1.9,1.3,2.34,3.79,3.96
revenge,5.07,3.82,4.94,4.0,2.9,4.81,2.3,1.64,1.6,1.7,2.0,2.31,3.36,2.92
rhyme,2.31,2.64,2.05,2.55,1.4,3.75,2.1,1.64,2.6,1.9,6.1,4.29,2.13,4.2
riddle,2.63,3.6,3.0,2.38,2.3,3.79,1.8,1.91,1.4,2.2,4.7,3.79,2.3,2.5
ring,2.89,3.17,4.5,2.5,2.2,2.75,3.7,2.0,5.6,5.5,5.42,3.15,3.4,3.9
riot,3.82,3.8,3.46,2.92,2.6,3.07,2.1,1.64,1.9,3.4,5.2,2.43,3.3,2.8
risk,4.44,3.75,3.63,4.3,3.7,4.08,2.7,2.09,2.4,2.2,2.33,3.54,4.8,4.3
river,2.41,3.82,1.88,1.61,3.0,2.13,4.6,4.27,4.4,6.0,6.0,5.28,4.3,2.04
road,1.76,3.27,2.33,1.94,1.8,1.69,3.6,3.0,3.6,5.8,3.2,5.13,3.48,2.72
robbery,2.91,3.2,3.92,3.46,2.6,3.08,1.6,1.73,1.6,3.0,2.6,2.21,2.8,2.4
robin,2.24,3.15,1.79,1.61,1.7,1.72,5.0,3.18,3.8,5.9,5.0,2.94,2.27,1.76
rocket,2.0,3.09,2.06,1.52,1.8,2.28,3.5,2.55,3.7,6.1,6.0,3.09,3.73,2.36
roof,2.07,3.0,2.09,1.55,1.5,1.75,2.9,3.0,4.1,5.4,1.7,4.25,3.24,1.76
route,2.0,2.6,2.38,2.77,1.6,2.5,1.8,2.55,1.8,2.6,1.8,3.72,3.6,3.9
rule,2.27,3.4,2.85,3.38,2.2,4.28,2.1,1.64,2.1,2.1,1.7,4.65,2.7,3.8
sadness,5.82,4.3,2.38,3.61,4.2,5.22,2.5,1.64,1.8,2.3,3.1,3.29,2.8,4.0
safety,3.91,5.6,2.38,4.69,3.8,4.57,2.7,1.64,1.7,1.7,1.5,4.79,2.4,3.1
salad,1.83,3.48,1.82,1.58,2.6,1.69,4.8,6.45,4.9,6.0,3.1,2.84,2.52,1.84
salary,2.5,4.5,2.63,3.6,2.0,2.8,4.0,1.64,1.5,1.6,1.2,4.52,5.87,4.47
saloon,2.1,3.27,2.91,1.61,1.5,1.72,1.9,3.73,2.5,4.9,3.7,4.41,2.03,1.68
sanctuary,3.75,3.72,2.02,3.25,2.1,4.5,2.5,2.82,1.9,3.6,2.5,4.26,3.74,3.03
sandal,1.72,2.76,1.94,1.52,2.6,1.72,2.5,3.64,4.8,5.7,3.2,2.53,2.91,1.88
satisfaction,5.9,5.09,4.67,4.19,3.7,5.19,2.5,2.36,2.2,2.1,2.2,3.16,4.24,3.16
scene,1.5,3.71,2.58,2.25,1.6,2.55,2.5,2.45,1.8,3.0,1.8,4.24,2.87,4.07
scent,2.44,4.29,2.15,2.75,3.1,3.65,2.7,5.36,2.9,1.4,1.5,4.66,2.8,3.47
scholar,2.42,4.3,3.45,3.09,2.6,4.94,1.7,2.64,2.0,4.5,2.6,4.35,3.7,3.48
season,1.84,3.09,2.69,2.42,1.9,3.82,2.1,3.73,3.1,2.8,2.5,4.92,3.14,6.3
second,2.22,3.0,2.13,1.7,2.4,3.17,2.3,1.73,2.3,2.0,2.5,5.23,3.6,5.8
security,4.22,4.75,4.63,4.2,4.0,4.34,2.4,2.09,2.8,2.8,2.33,4.0,4.5,4.1
sedative,3.09,4.4,2.0,2.38,2.8,2.78,1.6,2.27,2.8,3.1,1.4,2.79,2.3,4.3
segment,2.27,2.9,2.08,2.54,2.3,2.22,1.8,1.64,2.2,3.0,2.3,3.57,4.3,5.0
selection,2.79,3.33,2.85,3.23,3.1,4.28,2.2,1.64,1.7,2.4,1.7,3.09,3.33,3.68
self,4.27,5.4,3.77,5.53,5.1,5.43,2.2,2.91,3.4,3.5,2.9,4.93,2.1,4.2
separation,4.24,3.73,3.88,3.0,3.1,3.41,1.9,1.09,1.8,1.9,1.7,2.53,3.42,3.36
shame,5.36,4.4,2.93,4.23,2.7,5.07,1.7,1.64,1.5,1.8,1.8,2.93,2.6,2.8
shape,2.0,2.83,2.04,2.11,2.0,2.54,2.1,1.64,3.1,5.0,1.5,4.39,4.55,2.1
shark,2.76,3.42,1.64,1.68,1.4,1.53,4.8,3.0,4.3,6.1,4.0,2.5,3.3,1.76
shirt,2.17,3.03,2.0,1.71,3.1,1.66,4.2,4.09,4.4,6.3,3.0,2.94,3.3,1.76
shock,5.09,4.1,2.46,2.77,3.6,5.15,2.2,2.0,2.7,2.3,3.3,3.29,2.9,3.7
shortness,2.27,3.4,2.54,2.08,2.1,2.5,1.8,1.64,2.6,3.0,1.6,3.14,5.3,5.2
show,2.37,4.5,2.77,2.31,2.3,3.72,1.9,1.64,1.8,2.8,3.6,3.29,2.8,4.3
shrimp,1.79,3.33,1.48,1.55,1.5,1.53,5.4,6.64,4.8,6.2,1.8,2.72,3.36,1.6
sight,3.0,4.0,2.69,3.61,4.0,4.71,3.1,1.73,2.3,2.3,1.6,4.72,1.9,3.1
significance,4.34,3.82,4.48,4.19,2.8,4.72,2.0,1.64,1.7,1.8,1.6,3.06,4.97,4.92
silence,2.63,3.6,2.69,1.84,4.3,4.29,1.6,1.64,2.2,1.2,3.8,4.08,2.3,3.5
sister,3.9,4.39,5.09,2.65,2.7,3.41,2.5,3.27,3.9,5.4,4.3,2.94,2.67,2.72
site,1.73,3.1,1.77,2.77,1.7,2.43,1.9,2.09,2.1,4.2,1.9,4.15,3.8,2.6
situation,3.76,3.76,4.15,4.06,2.7,4.97,1.8,1.64,1.9,1.7,1.9,2.97,3.3,4.32
size,2.0,3.6,2.23,3.0,2.2,2.86,1.5,1.64,1.8,2.7,1.5,4.14,6.5,4.0
skill,3.28,4.73,3.67,3.55,4.4,5.31,2.0,1.91,2.0,1.8,2.2,3.13,4.24,3.32
skin,2.69,3.45,2.7,1.87,4.5,2.03,3.5,4.0,5.2,5.4,2.0,3.34,2.09,2.08
skull,2.41,3.03,2.09,1.84,2.4,1.84,3.4,2.64,4.4,5.6,2.0,2.69,2.73,1.72
skunk,2.31,3.06,1.39,1.74,1.9,1.59,4.3,4.91,4.2,6.1,3.1,2.03,1.91,1.8
sky,2.69,4.12,2.09,1.71,2.1,1.97,4.7,3.0,3.0,5.0,2.0,4.78,4.58,2.56
smell,1.91,4.4,2.84,2.46,3.8,3.5,2.6,5.64,2.9,1.7,1.5,3.15,2.1,3.4
snake,2.79,3.64,1.61,1.58,1.6,1.56,4.9,3.55,4.5,6.3,4.1,2.25,3.3,1.44
sneeze,2.14,3.07,2.08,1.94,3.3,2.94,1.9,2.36,3.2,3.1,6.0,3.15,2.75,3.2
snow,2.55,4.03,1.94,2.0,2.8,1.88,5.9,3.36,5.6,5.8,3.7,3.19,3.94,3.16
sofa,2.24,2.94,2.09,1.71,2.0,1.63,3.2,3.73,4.3,6.1,2.5,3.47,2.79,1.72
sole,1.63,2.6,2.69,2.15,1.5,2.0,2.5,2.82,2.2,4.4,1.6,3.57,2.6,2.5
soul,4.84,4.6,3.27,4.42,2.8,5.75,2.3,1.91,1.8,1.5,1.9,4.35,3.17,2.58
sow,1.91,2.5,1.92,2.31,2.3,2.79,1.8,2.82,2.4,3.6,2.8,3.0,2.6,3.5
specialist,2.09,4.0,3.62,3.07,2.2,4.5,1.9,2.18,2.2,4.1,3.5,4.29,2.6,3.1
specimen,2.17,3.17,2.34,2.42,1.6,3.44,2.7,3.18,3.0,4.8,1.6,3.29,3.34,3.1
speech,2.94,3.29,3.84,3.35,4.7,5.1,1.7,1.64,2.1,1.7,6.4,4.38,2.27,4.27
spelling,2.09,3.5,2.15,3.31,3.7,4.22,1.7,1.55,1.6,1.8,2.4,4.57,2.3,3.6
spider,2.52,3.48,1.79,1.74,2.0,1.72,4.7,2.73,4.6,6.2,2.3,2.31,2.85,1.48
spirit,5.11,4.67,4.31,4.5,3.8,4.83,2.7,1.73,2.9,3.4,2.5,2.85,3.9,3.8
square,1.82,2.8,2.0,2.61,1.3,1.93,1.7,1.64,2.7,5.9,1.3,2.86,4.1,3.7
squeak,2.0,2.0,1.85,1.69,2.8,2.43,2.0,1.64,2.0,1.4,6.0,3.29,2.7,2.3
standard,2.89,4.25,2.31,4.7,4.5,4.75,2.5,2.18,2.7,2.4,2.08,3.85,4.2,4.3
stapler,1.59,2.7,1.67,1.48,2.0,1.63,3.6,2.0,4.9,6.2,5.1,2.59,2.0,2.36
starch,2.0,2.6,1.77,2.39,1.2,2.0,1.6,3.36,2.2,3.8,1.7,3.5,2.3,1.9
state,2.54,3.1,2.77,2.46,2.1,3.36,2.0,1.91,1.7,1.7,1.8,4.79,4.3,3.9
station,1.91,3.1,2.31,2.38,1.4,2.43,1.5,2.36,2.5,4.4,2.5,4.57,3.7,2.9
steam,1.82,2.6,1.92,2.46,1.6,2.28,3.4,2.82,3.6,4.3,4.5,3.43,2.5,2.1
stick,1.82,2.6,2.0,2.0,1.4,2.22,3.3,2.55,3.1,6.0,2.5,2.86,3.3,1.8
stimulus,3.48,3.58,3.27,2.97,3.5,4.53,1.9,1.64,1.9,1.8,1.8,2.78,3.94,3.4
story,3.21,3.79,2.86,3.21,2.5,4.57,2.6,1.64,3.3,2.6,5.0,4.63,3.44,4.78
stranger,2.21,2.98,4.23,2.29,1.9,2.99,2.1,2.36,2.3,4.5,2.0,3.27,3.13,2.35
street,1.54,2.8,2.23,3.31,1.7,1.79,2.9,3.18,2.8,5.3,4.1,4.36,3.3,3.6
stride,2.0,3.4,2.23,2.85,5.3,3.0,2.0,1.64,1.4,3.3,2.6,4.93,3.6,3.8
student,2.82,4.2,4.46,2.77,2.7,3.72,1.8,2.45,2.8,5.2,4.2,4.29,2.2,3.1
stupidity,4.14,3.76,3.82,3.23,2.1,4.03,1.7,1.64,1.6,2.0,2.6,2.19,3.55,2.12
subtraction,2.0,2.8,2.0,2.23,1.0,3.43,2.1,1.64,1.7,1.7,1.3,3.93,3.0,4.3
sugar,2.28,3.82,1.85,1.84,1.6,1.59,4.5,5.55,4.9,6.1,1.8,2.97,2.61,2.04
suggestion,3.67,3.42,2.75,2.6,4.4,5.0,2.5,1.73,2.3,2.2,2.92,3.46,3.5,3.5
suit,2.44,2.83,1.94,2.4,1.5,2.83,3.6,1.82,4.9,5.6,2.58,3.23,2.6,3.3
summer,2.31,4.5,2.11,2.75,2.5,2.8,3.8,3.55,2.3,3.4,3.2,4.38,2.8,6.07
supply,2.37,3.7,2.0,3.0,2.5,2.57,1.7,1.64,2.0,2.6,2.0,4.15,3.8,4.2
suspect,2.91,3.3,3.46,2.92,3.2,4.21,1.8,2.27,2.2,4.1,1.6,2.21,1.9,2.4
sword,2.44,2.17,1.38,1.8,1.5,2.75,2.8,1.82,5.9,5.8,4.0,2.62,2.6,2.7
synagogue,2.64,3.1,3.38,2.69,1.3,2.64,1.9,2.45,2.7,5.5,2.6,2.86,3.1,2.6
talent,3.22,5.42,3.12,3.9,4.4,4.34,1.9,1.64,2.8,2.0,3.42,3.54,4.3,3.9
tallness,1.91,3.7,2.92,2.07,1.6,2.93,2.1,1.64,2.7,3.8,1.8,3.57,5.9,2.3
tax,2.45,3.5,3.08,3.23,1.9,2.57,1.7,1.64,1.5,2.2,1.7,3.5,4.8,3.7
teacher,2.27,4.8,5.08,3.38,2.1,4.57,2.2,3.0,3.5,5.2,4.3,4.07,2.0,3.1
television,2.45,4.55,3.27,2.06,1.9,2.09,2.9,1.91,4.0,6.1,6.6,3.09,3.24,2.52
temperature,2.36,3.0,2.15,2.61,1.5,3.21,3.4,1.91,3.7,1.8,2.3,5.15,5.0,4.8
temple,2.73,2.5,2.77,2.92,1.5,2.71,2.5,2.36,2.5,5.3,3.1,3.86,3.4,2.8
tendency,3.72,3.58,3.0,4.0,3.1,4.63,1.8,1.64,1.8,1.8,1.4,2.94,3.39,3.64
tennis,2.21,3.12,2.88,1.52,1.8,1.5,3.4,2.64,2.4,4.7,4.8,2.47,2.21,1.8
tension,4.46,4.3,4.77,3.53,4.2,5.72,1.7,1.64,2.2,2.2,2.3,3.5,3.3,3.4
territory,2.46,3.7,3.07,3.23,1.7,2.79,1.8,1.64,1.5,3.5,1.6,4.36,4.7,3.7
theory,3.52,3.97,2.97,3.45,2.7,6.31,1.8,1.64,1.9,1.6,2.4,3.09,3.94,3.72
thief,3.27,3.0,3.38,4.15,1.4,2.72,2.0,2.55,2.5,5.0,2.2,2.5,1.7,1.7
thing,2.27,2.8,2.08,1.92,1.9,3.14,2.0,1.91,4.0,4.8,2.1,3.36,2.5,2.4
thorn,2.38,3.45,1.48,1.61,1.4,2.03,3.0,2.45,3.4,6.3,1.9,2.66,2.12,1.52
thought,4.91,4.8,3.08,5.38,4.8,6.36,2.0,1.64,1.8,1.6,2.3,4.93,3.1,4.1
three,2.18,2.9,1.77,2.0,2.0,2.07,1.6,1.64,1.7,3.6,1.4,4.22,4.5,4.4
tide,1.82,2.9,1.62,2.77,1.6,2.43,3.5,2.09,3.0,4.5,5.5,5.0,4.0,4.3
time,2.78,4.17,3.56,3.7,3.5,4.34,2.6,1.55,2.8,2.2,3.58,5.31,5.8,6.4
tip,1.91,3.5,2.08,2.62,1.9,3.43,2.3,2.0,2.6,3.7,1.7,3.93,3.4,3.4
toilet,2.48,2.82,2.18,1.84,2.0,1.44,3.7,5.0,4.3,6.1,5.9,3.56,1.76,1.84
tomato,1.9,3.27,1.73,1.58,1.6,1.56,6.0,6.36,5.2,6.6,2.6,2.75,2.52,1.8
tongue,2.62,3.7,3.15,1.77,3.5,2.59,3.7,5.09,5.7,5.7,4.0,3.13,2.18,1.8
tool,2.17,3.3,2.06,1.84,1.9,2.22,2.4,2.18,4.4,5.2,3.0,3.0,2.36,2.04
topic,2.76,3.06,3.09,2.77,2.6,4.25,2.1,1.64,1.8,1.8,1.6,2.47,3.0,3.16
towel,2.21,3.03,2.0,1.52,1.4,1.69,3.0,4.0,5.2,6.3,2.1,2.84,3.0,1.64
tradition,4.45,4.97,4.52,3.77,3.1,3.78,2.0,2.09,1.8,2.0,1.4,2.97,3.24,5.28
tragedy,4.37,4.2,3.0,3.85,3.4,4.64,2.4,1.64,1.6,2.0,2.3,2.36,3.0,3.6
